PC1,PC2,True_Label
-4.6770935,-8.708154,0
-5.8079286,-12.115245,0
-6.1061034,-5.7522974,0
-5.1189504,-11.814728,0
-5.7344337,-7.452873,0
-5.5580106,-9.321623,0
-5.81706,-9.729124,0
-5.10692,-8.541718,0
-6.6486063,-8.044668,0
-4.813115,-10.10847,0
-5.9151254,-11.583671,0
-6.009683,-6.332469,0
-5.6000986,-7.940813,0
-4.8030887,-9.418191,0
-5.4973006,-7.259632,0
-7.328901,-3.6333442,0
-5.7984247,-6.7966833,0
-4.662083,-11.491048,0
-6.4352217,-10.226365,0
-5.965199,-7.5720606,0
-3.0134602,-10.389331,0
-7.4588237,-5.797495,0
-4.4435587,-11.579466,0
-5.4998183,-10.486575,0
-6.494003,-7.308282,0
-6.0015306,-6.1156473,0
-7.395981,-2.9638047,0
-5.500582,-11.033745,0
-5.4969335,-6.029251,0
-8.148447,1.6021726,0
-6.3351336,-8.89318,0
-7.2456603,-6.7288723,0
-5.018228,-10.514903,0
-6.954559,-5.7103252,0
-4.4553666,-6.6348886,0
-4.8256516,-8.678585,0
-5.9622674,-8.157987,0
-4.728917,-7.6658497,0
-4.9515944,-10.179258,0
-5.7001677,-6.4674387,0
-5.063603,-8.717289,0
-4.7038627,-10.243709,0
-4.5318713,-7.461241,0
-4.9204793,-7.1352205,0
-5.29094,-9.819121,0
-5.4401903,-7.502226,0
-4.231907,-9.541487,0
-4.3579593,-9.265481,0
-4.9470906,-8.424186,0
-4.8128743,-7.907979,0
-5.959477,-6.3467712,0
-5.7308674,-8.719691,0
-4.529097,-9.44208,0
-4.073909,-7.147011,0
-6.2593946,-8.494412,0
-5.429807,-6.1850185,0
-4.477706,-9.213425,0
-7.2771077,-4.5739403,0
-6.867411,-6.90934,0
-6.2294993,-6.951785,0
-4.212892,-7.826788,0
-6.736099,-2.3316524,0
-8.218078,-0.18702865,0
-7.4236674,-0.15688574,0
-5.5330415,-9.739687,0
-4.922635,-5.72075,0
-5.792487,-7.2690744,0
-5.2264276,-5.8564334,0
-4.933978,-5.390697,0
-4.7568874,-5.6335363,0
-5.3857303,-6.4810047,0
-5.6631446,-6.636202,0
-7.171517,-3.7925215,0
-5.7407784,-3.260304,0
-7.331925,-2.6760845,0
-4.7945013,-6.509799,0
-5.766786,-6.5715237,0
-6.571347,-0.63044024,0
-6.83302,-3.083634,0
-6.049215,-7.0842733,0
-4.4036407,-5.450904,0
-5.17967,-6.1641264,0
-8.814045,-4.158827,0
-7.197623,-5.919385,0
-5.547732,-4.906539,0
-5.6098886,-7.352068,0
-4.397036,-11.767687,0
-4.9163775,-11.430903,0
-5.8344545,-5.474099,0
-5.568267,-9.857039,0
-6.2383447,-12.031529,0
-4.686448,-8.649849,0
-5.686364,-11.190797,0
-5.612839,-10.53575,0
-6.4146166,-9.923707,0
-4.1951437,-11.27641,0
-5.3044825,-10.943803,0
-5.817867,-11.93747,0
-6.261996,-5.475996,0
-6.6805973,-4.415761,0
-5.8297668,-9.272676,0
-4.0616117,-14.287822,0
-7.561731,-9.418901,0
-5.187352,-11.245058,0
-7.2728257,-4.5184183,0
-5.525862,-6.713134,0
-5.639744,-9.7562275,0
-5.222251,-6.5558844,0
-5.2048697,-11.059953,0
-7.176495,-2.3703556,0
-4.7198176,-9.892516,0
-5.372789,-5.592987,0
-4.5527525,-9.18525,0
-4.629212,-10.72573,0
-4.8770823,-13.861039,0
-6.222689,-6.2534,0
-5.8873262,-8.690071,0
-4.8566766,-14.20679,0
-5.5559936,-11.992264,0
-4.4808993,-6.722947,0
-7.157535,-9.260908,0
